Sample Date,Latitude,Longitude,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,nir,green,swir16,swir22,NDMI,MNDWI,pet
05-09-2012,-33.980556,21.653333,169.407,1265.48,10,13138,9730,12492,10852.5,0.02520483808,-0.1242912429,176.5
03-10-2012,-33.980556,21.653333,214.125,1265.48,10,13138,9730,12492,10852.5,0.02520483808,-0.1242912429,176.5
06-11-2012,-33.980556,21.653333,155.739,1265.48,10,13138,9730,12492,10852.5,0.02520483808,-0.1242912429,176.5
03-12-2012,-33.980556,21.653333,135.181,1265.48,10,16435.5,10266,14805,11804.5,0.05219186633,-0.1810458298,176.5
29-01-2013,-33.980556,21.653333,170.181,1265.48,10,16435.5,10266,14805,11804.5,0.05219186633,-0.1810458298,164.6
28-02-2013,-33.980556,21.653333,165.007,1265.48,10,16251,10023,14499,11432,0.05697560976,-0.1825299731,164.6
10-03-2013,-33.980556,21.653333,189.767,1265.48,47,16251,10023,14499,11432,0.05697560976,-0.1825299731,164.6
19-03-2013,-33.980556,21.653333,180.445,1265.48,10,16163.5,9519,14142,11301.5,0.06670406362,-0.1953848104,164.6
15-05-2013,-33.980556,21.653333,204.753,1265.48,17,14635,9570,14161.5,11485,0.0164429705,-0.1934770242,164.6
12-06-2013,-33.980556,21.653333,208.261,1265.48,10,14635,9570,14161.5,11485,0.0164429705,-0.1934770242,164.6
18-07-2013,-33.980556,21.653333,250.597,1265.48,10,14989,9610.5,14222,11344.5,0.02625723186,-0.1934962761,162.6
14-08-2013,-33.980556,21.653333,83.4,1265.48,10,14989,9610.5,14222,11344.5,0.02625723186,-0.1934962761,162.6
11-09-2013,-33.980556,21.653333,196.989,1265.48,10,15268.5,10031,14209,11510,0.03594266814,-0.172359736,162.6
08-10-2013,-33.980556,21.653333,242.269,1265.48,10,15268.5,10031,14209,11510,0.03594266814,-0.172359736,162.6
17-08-2011,-34.092222,21.295278,10.602,363,10,18972,9785,14929.5,11626,0.1192425114,-0.2081571547,181.40001
05-12-2013,-33.980556,21.653333,292.609,1265.48,10,26767.5,21462.5,22680,18818,0.08266343091,-0.0275811293,162.6
07-01-2014,-33.980556,21.653333,160.599,1265.48,10,13460.5,11173.5,13368.5,12194.5,0.0034291252,-0.08943851357,58
18-02-2014,-33.980556,21.653333,246.242,1265.48,18,15835,10461.5,15035,12270,0.02591512796,-0.1793775616,161.40001
11-03-2014,-33.980556,21.653333,244.01,1265.48,10,15846.5,10633,15012.5,12240,0.0270261512,-0.1707707005,161.40001
10-04-2014,-33.980556,21.653333,277.346,1265.48,43,15841,10277.5,14401,11927.5,0.04761589842,-0.1670887615,161.40001
13-05-2014,-33.980556,21.653333,222.636,1265.48,20,8985,8017,8464.5,7945,0.02982893493,-0.02715165489,161.40001
10-06-2014,-33.980556,21.653333,211.254,1265.48,20,14389.5,9797.5,12774,10938,0.05947319013,-0.1318698359,161.40001
08-07-2014,-33.980556,21.653333,248.288,1265.48,20,14389.5,9797.5,12774,10938,0.05947319013,-0.1318698359,161.40001
21-08-2014,-33.980556,21.653333,143.943,1265.48,20,15457,10436.5,14690,12469.5,0.02544200086,-0.1692834259,181.3
11-09-2014,-33.980556,21.653333,250.8,1265.48,20,15647.5,10612,14975.5,12566,0.02194429024,-0.1705324866,181.3
14-10-2014,-33.980556,21.653333,207.848,540,20,13626.5,10309,12718.5,11168.5,0.03446574303,-0.1046357616,181.3
11-11-2014,-33.980556,21.653333,163.124,540,41,16244.5,10208,14354,11615.5,0.06178407438,-0.1687973292,181.3
02-12-2014,-33.980556,21.653333,218.003,540,20,16865.5,10386,15020.5,12040,0.05786238475,-0.1824139492,181.3
15-01-2015,-33.980556,21.653333,229.284,540,20,17225,10503,15380.5,12404,0.05657021055,-0.1884405123,166.7
17-02-2015,-33.980556,21.653333,187.422,540,20,16434,10270,15255.5,12627,0.03718897427,-0.1953144894,166.7
10-03-2015,-33.980556,21.653333,253.356,540,21,17196.5,10028,15681.5,12440,0.04607944522,-0.219899259,166.7
14-04-2015,-33.980556,21.653333,187.783,540,21,17204,10015.5,15696.5,12458,0.04581997234,-0.2209474175,166.7
19-05-2015,-33.980556,21.653333,187.924,540,20,13856,10070.5,14072,11957,-0.007734173589,-0.1657450554,166.7
18-08-2015,-33.980556,21.653333,235.603,540,21,16966,11052,15953,13563.5,0.0307725022,-0.1814849102,166.7
15-09-2015,-33.980556,21.653333,160.109,540,20,12271,9395.5,11898,10308.5,0.01543299268,-0.1175241271,166.7
20-10-2015,-33.980556,21.653333,244.8,540,20,14069,9754,13149,10770.5,0.033801161,-0.1482338558,166.7
17-11-2015,-33.980556,21.653333,230.206,540,20,16790.5,10436,14786,12244,0.06348075309,-0.1724684799,166.7
09-12-2015,-33.980556,21.653333,177.3,540,20,17133.5,10266,14924,12127,0.06892302893,-0.1849146487,166.7
18-08-2011,-24.183889,30.823889,155.049,491,34,12975,9423,12192,10273.5,0.0311121707,-0.1281054823,170
18-08-2011,-23.281,30.54305556,121.719,264.3,10,12320,9691.5,12838,11226,-0.02058987201,-0.1396613329,166.7
18-08-2011,-27.671111,27.236944,276.052,513,14,,,,,,,188.3
18-08-2011,-27.902778,24.615556,223.347,1002,40,13254.5,9975,15336.5,13414,-0.07282011822,-0.2118207139,221.90001
18-08-2011,-28.376944,24.303056,226.403,1359,24,13126.5,10384,14884.5,12547.5,-0.06276105816,-0.1781071294,220.8
18-08-2011,-29.658056,25.973333,311.909,679,10,12702.5,10561.5,14776,12994.5,-0.07545899521,-0.1663344845,201.6
18-08-2011,-30.534167,24.961944,359.101,977,10,10783,10278.5,11130.5,10121,-0.01585780455,-0.03979634733,217.8
22-08-2011,-22.225556,29.990556,34.341,186.4,10,8492,9406,7851,7819,0.03922168513,0.09010836182,178.2
22-08-2011,-24.282222,28.090278,27.003,79.6,10,14176,10117.5,17024,13738,-0.09128205128,-0.2544627231,170.3
22-08-2011,-25.99136,27.84208,139.339,487,194,12698,9472.5,14456.5,11539,-0.06475906388,-0.2082828367,173.1
22-08-2011,-29.380556,30.2775,26.518,83,10,12540.5,9491,14857.5,12564,-0.08456821666,-0.220403721,144.1
22-08-2011,-26.861111,28.884722,180.698,681,180,14151,10884,17742.5,14654,-0.1126091523,-0.2395856986,164.90001
22-08-2011,-26.45,28.085833,138.701,721,67,14945,10725,18207.5,14532,-0.09840886811,-0.2586191999,170.6
23-08-2011,-30.830556,26.921389,119.673,251.4,10,10340.5,10028,10545,9453,-0.009791482129,-0.02513002479,190.3
23-08-2011,-25.73411,27.21422,5,23.09,10,13843,10190,16235.5,13811,-0.07954186545,-0.228775236,176.7
23-08-2011,-29.380556,30.2775,35.808,98.9,10,12540.5,9491,14857.5,12564,-0.08456821666,-0.220403721,144.1
23-08-2011,-28.141944,26.417778,275.129,646,10,14796,9950.5,15041.5,12545,-0.008227901131,-0.2037051857,196.40001
23-08-2011,-30.679722,26.7125,115.117,246.9,10,15924,14857.5,14408,12042,0.04998021891,0.01535938221,195
23-08-2011,-33.501667,21.624167,101.651,474,10,11846,9929.5,11875,9983.5,-0.001222545424,-0.08922470132,193.40001
23-08-2011,-25.57877778,29.12747222,47.821,320,10,13550,10233.5,16093.5,13114,-0.08580295849,-0.2225851787,172.40001
24-08-2011,-29.161667,23.696389,98.912,222.4,28,8726,11550,7700,7609,0.06246195057,0.2,226.6
24-08-2011,-34.065833,20.404167,62.907,671,10,10636,8387,8708,8024,0.09966914806,-0.0187774203,194.90001
24-08-2011,-23.23572222,27.717,18.871,73.2,10,13144.5,10394.5,14032,12114,-0.03265689106,-0.1489161362,179.8
24-08-2011,-28.404444,30.013056,57.034,196.2,10,12531,9712.5,15822,12750.5,-0.1160723733,-0.2392645245,165.40001
24-08-2011,-27.38972222,26.46388889,141.465,708,61,12531,10679.5,13497,12132,-0.03711387736,-0.1165387877,197.5
24-08-2011,-27.398611,26.614722,226.776,765,146,13482.5,9993,14245.5,12485.5,-0.02751731102,-0.175444025,195.8
24-08-2011,-27.044444,27.005,150.527,399,10,15642.5,11061,20149,15460,-0.125909783,-0.2911887216,184.5
24-08-2011,-29.033333,23.983333,186.659,1077,46,,,,,,,221.90001
24-08-2011,-33.818056,19.694722,9.141,142.5,17,10577.5,8543,10099,8827.5,0.02314221459,-0.08346743912,212.1
24-08-2011,-34.075556,20.145556,40.164,641,10,16025.5,9825,15554,12436,0.01493057205,-0.2257378147,197.40001
24-08-2011,-28.058889,30.373611,90.741,397,78,12469,10057.5,14050.5,11817.5,-0.05963536266,-0.1656296665,160.6
24-08-2011,-27.4,26.624722,287.268,752,16,13854,10203.5,15255.5,13207,-0.04814579433,-0.1984367021,195.8
25-08-2011,-27.01011111,26.69808333,132.861,715,41,10792.5,9208,11439.5,10452.5,-0.02910219503,-0.1080760383,189.3
25-08-2011,-22.225556,29.990556,129.8575,843,10,8492,9406,7851,7819,0.03922168513,0.09010836182,178.2
25-08-2011,-22.91028,29.61111,39.432,97.3,10,13335,10151,13250,11795.5,0.003197291706,-0.132430238,163.1
25-08-2011,-24.925278,29.324444,193.038,382,10,,,,,,,177.1
25-08-2011,-30.398056,30.601944,44.295,240,10,15038,9607,11837.5,9600,0.1190861565,-0.1040126839,148.3
25-08-2011,-30.27402,30.69602,90.081,459,10,14805.5,10225,13921.5,11473,0.03077244404,-0.1530863686,148
25-08-2011,-26.648056,27.089444,262.405,657,10,15866,10787,19134,15161,-0.09337142857,-0.2789679489,179.7
25-08-2011,-26.970278,27.211111,150.228,682,71,8393,8522.5,7912.5,7778,0.02946858422,0.03711591117,181.3
25-08-2011,-26.880278,26.965,280.008,739,185,15050,10335,17528,13965.5,-0.0760636012,-0.2581559775,182.1
25-08-2011,-27.38972222,26.46388889,175.03,727,44,12531,10679.5,13497,12132,-0.03711387736,-0.1165387877,197.5
25-07-2014,-23.763056,27.908611,10,60.8,20,11942,9015,11915.5,9980,0.001110761815,-0.1385776737,179
13-08-2014,-23.763056,27.908611,10,61.1,20,,,,,,,179
25-08-2011,-26.98472222,26.63227778,281.881,796,84,15621,10864,17782,14257,-0.06469478789,-0.2414996858,188.5
25-08-2011,-29.028629,24.638389,204.7095,1201,12,13151,10099,13413,11866,-0.009862972444,-0.1409493025,218.40001
22-12-2014,-23.763056,27.908611,10,66.5,31,14647.5,10068.5,16661.5,13962.5,-0.06432655147,-0.2466517022,179
25-08-2011,-33.897778,20.012778,25.887,368,30,11583,8417,9293,8329,0.1096953439,-0.0494635799,199.8
26-08-2011,-29.641944,30.6875,62.219,321.7,65,13659.5,9392.5,12079.5,9984,0.06138544621,-0.1251397168,148
26-08-2011,-27.937778,31.209444,44.282,254.1,10,12837.5,9647.5,14076.5,11867.5,-0.04603552055,-0.1866885854,161.7
26-08-2011,-27.671111,27.236944,204.103,532,80,,,,,,,188.3
26-08-2011,-27.573056,24.746389,189.157,647,10,12137.5,9864,14028,12262.5,-0.07225162905,-0.1742842793,215.5
19-08-2015,-23.763056,27.908611,10,62.9,20,12373,9235.5,13913,11708.5,-0.05858631971,-0.2020649286,190.7
09-09-2015,-23.763056,27.908611,10,68,20,12969,9591,15020.5,12583,-0.0732953429,-0.2206082522,190.7
26-08-2011,-28.460833,21.248889,125.363,436,10,,,,,,,249.2
28-08-2011,-28.760833,17.730278,137.187,504,10,,,,,,,249.8
29-08-2011,-27.169444,29.233889,123.888,326.8,10,15208,11403,19998.5,16139,-0.1360686237,-0.273728962,162
29-08-2011,-26.73806,27.59194,134.724,702,142,9806.5,9358,8802,8383,0.05398070774,0.03061674009,174.5
30-08-2011,-25.127778,27.628889,187.683,627,163,,,,,,,187.5
30-08-2011,-25.20639,27.558,142.205,699,10,,,,,,,185.90001
30-08-2011,-24.69514,27.40906,183.573,796,129,14325,9934.5,12063,10486.5,0.08572078217,-0.09676099557,187.7
30-08-2011,-27.00222,28.76528,190.944,482,10,,,,,,,166.1
30-08-2011,-34.405833,19.600556,37.607,1034,10,6635.5,4251,6034.5,4820.5,0.04743488556,-0.1733994458,174.1
30-08-2011,-27.495556,26.074722,248.327,764,10,15303,11092,19447.5,15285,-0.119264471,-0.2735964898,200.7
31-08-2011,-29.161667,23.696389,91.061,218.7,10,8669,11537,7785,7806,0.05372553786,0.1941827968,226.6
31-08-2011,-34.329722,18.990278,6.268,142.8,10,12886,9181,13277.5,11681.5,-0.01496359432,-0.182403099,170.40001
31-08-2011,-25.447222,30.711667,62.807,136.6,10,12344,9059.5,12791,10693,-0.01778396658,-0.1707741242,160.3
01-09-2011,-29.161667,23.696389,88.324,229.9,10,8669,11537,7785,7806,0.05372553786,0.1941827968,226.6
02-09-2011,-27.902778,24.615556,224.946,1201,10,13932.5,10250.5,15662,13818,-0.05843991282,-0.2088374337,221.90001
05-09-2011,-25.99136,27.84208,129.383,470,194,12159.5,9364.5,13448.5,11677.5,-0.05033583255,-0.1790207338,173.1
05-09-2011,-26.861111,28.884722,195.801,686,180,14324,10827.5,17814,15065,-0.1085941876,-0.2439292635,164.90001
05-09-2011,-26.45,28.085833,156.361,718,67,10736,9853,11092.5,11095,-0.01633185972,-0.05917738894,170.6
05-09-2011,-29.160278,26.573333,271.508,668,10,12394,10035,14834,12839.5,-0.08961363302,-0.1929711689,200
05-09-2011,-28.768056,20.720556,141.06,451,10,12169.5,10828.5,13283.5,12254,-0.04376694299,-0.1018165229,262.5
06-09-2011,-25.73411,27.21422,5,23.45,10,13843,10190,16235.5,13811,-0.07954186545,-0.228775236,176.7
06-09-2011,-29.380556,30.2775,57.243,119,11,12540.5,9491,14857.5,12564,-0.08456821666,-0.220403721,144.1
06-09-2011,-27.398611,26.614722,263.675,823,146,13482.5,9993,14245.5,12485.5,-0.02751731102,-0.175444025,195.8
06-09-2011,-27.671111,27.236944,219.27,557,88,,,,,,,188.3
06-09-2011,-28.69485,28.23487,206.437,426,10,11216,9124,11442,9816,-0.009974401977,-0.1127102986,165
06-09-2011,-29.615556,27.065278,168.716,401,51,13476,10952,15800.5,13532.5,-0.0793981521,-0.1812353986,188.5
06-09-2011,-28.883333,27.89,179.397,367,14,11639,9602,12698.5,11905.5,-0.0435336415,-0.1388533889,170.6
06-09-2011,-31.104278,29.399722,87.239,187.5,10,12406,8970,11248,9570.5,0.04895577915,-0.1126718765,148.3
06-09-2011,-31.396,29.2651,72.741,157.5,10,10337.5,10311,9328,8627,0.05133355369,0.05005346504,149.90001
06-09-2011,-31.554722,29.245556,98.454,255.8,10,16232.5,9421,14116,10865,0.06973985535,-0.1994731699,142.40001
06-09-2011,-34.039722,22.133333,27.992,403,10,16915.5,9659.5,14509,11954,0.07658037518,-0.2006537435,164.8
07-09-2011,-25.81048333,27.90955222,134.916,630,10,11315,9741,11423.5,10116,-0.004771642808,-0.0794963264,176
07-09-2011,-29.641944,30.6875,82.225,383,44,13571.5,9442,12027,9872.5,0.06033556654,-0.120406167,148
07-09-2011,-31.860278,18.6875,17.749,145.5,10,,,,,,,231.8
07-09-2011,-27.602222,29.942778,71.01,194.7,10,,,,,,,167.3
07-09-2011,-27.02314,28.59389,197.918,489,14,,,,,,,168.3
07-09-2011,-27.4275,28.525833,44.199,110.9,10,16696,10233,13672,10757,0.09957850369,-0.1438611169,167.7
07-09-2011,-27.3,28.586944,95.05,246.5,10,14432,10915.5,17697,14823,-0.101621588,-0.2370117955,168.1
07-09-2011,-27.044444,27.005,178.734,416,17,15642.5,11061,20149,15460,-0.125909783,-0.2911887216,184.5
07-09-2011,-29.033333,23.983333,209.097,1451,10,13607,10890,14386,12743,-0.02782838567,-0.1383130242,221.90001
07-09-2011,-30.160091,27.40124,111.999,236.4,10,13408.5,10501.5,15905.5,12915,-0.08518114212,-0.2046427084,181.7
07-09-2011,-30.336111,27.359444,78.903,176.9,10,9069.5,9916,8466,8115,0.03441589918,0.07888151453,182.7
07-09-2011,-30.568333,29.422778,54.038,152,10,12796,9178.5,13615,11999.5,-0.03100980652,-0.1946388225,146.90001
07-09-2011,-30.86013889,29.07125,81.409,164.8,10,4906.5,4930,4680.5,4223.5,0.02357358924,0.02596118828,153.2
07-09-2011,-30.77586667,29.03221667,97.286,180.3,10,11908.5,10257,12455,11070,-0.0224310957,-0.09677703417,154.1
07-09-2011,-34.02861,22.22222,20.839,248.2,10,15419.5,9010.5,12040,9813,0.1230721608,-0.1439158215,162.2
08-09-2011,-30.830556,26.921389,125.114,257.8,10,10340.5,10028,10545,9453,-0.009791482129,-0.02513002479,190.3
08-09-2011,-30.398056,30.601944,66.464,255.1,10,16155,9211.5,12142.5,9657.5,0.1417969785,-0.1372576566,148.3
08-09-2011,-30.27402,30.69602,112.061,515,10,14522,9459,12822.5,10614,0.06215143813,-0.150954828,148
08-09-2011,-29.033333,23.983333,195.375,1503,10,13607,10890,14386,12743,-0.02782838567,-0.1383130242,221.90001
08-09-2011,-30.679722,26.7125,120.208,233.2,10,9372,10159.5,8428,8301.5,0.05303370787,0.09315400134,195
08-09-2011,-31.031389,28.883333,59.639,116.8,10,10611,10045,10336,9551,0.0131283716,-0.01427800402,150.7
08-09-2011,-34.031944,22.053333,24.937,450,10,10478,8331,9390,8647,0.05476142541,-0.05975960725,166.40001
09-09-2011,-29.658056,25.973333,332.927,766,14,12661,10451,14383,12303,-0.06367401272,-0.15833132,201.6
09-09-2011,-31.000833,26.353056,284.591,654,174,10757,9268,11966,10668,-0.05320600273,-0.1270603749,196.2
10-09-2011,-28.760833,17.730278,146.975,554,10,,,,,,,249.8
12-09-2011,-26.970278,27.211111,156.031,724,134,8393,8522.5,7912.5,7778,0.02946858422,0.03711591117,181.3
13-09-2011,-27.01011111,26.69808333,171.699,773,84,13001.5,10826.5,12588.5,11352.5,0.01613911684,-0.07525090754,189.3
13-09-2011,-24.679167,30.8025,94.278,199.5,10,12210,9615,14454,13314.5,-0.08415841584,-0.2010469899,151.40001
13-09-2011,-24.183889,30.823889,206.06,560,10,13773,9912.5,12929,10970.5,0.03160811924,-0.1320622551,170
13-09-2011,-25.127778,27.628889,194.426,661,163,,,,,,,187.5
13-09-2011,-25.20639,27.558,163.615,706,10,,,,,,,185.90001
13-09-2011,-24.69514,27.40906,172.567,769,107,14325,9934.5,12063,10486.5,0.08572078217,-0.09676099557,187.7
13-09-2011,-24.925278,29.324444,236.583,1466,10,13506,10561,16692,14153.5,-0.1055036757,-0.2249660588,177.1
13-09-2011,-29.161667,30.629722,26.531,110,10,13430,9851.5,16226.5,14527.5,-0.09429635999,-0.2444589309,144.3
13-09-2011,-26.648056,27.089444,275.837,679,14,,,,,,,179.7
13-09-2011,-26.880278,26.965,289.002,748,185,15634.5,11099,17153.5,13768.5,-0.04632792485,-0.2142996195,182.1
13-09-2011,-27.802778,28.768333,107.561,257.2,12,12480,10169.5,14047,11756.5,-0.05907188902,-0.1601181013,162.6
13-09-2011,-26.98472222,26.63227778,277.696,859,84,14954,11291.5,15342,13240,-0.01280697122,-0.1520829031,188.5
13-09-2011,-29.033333,23.983333,206.195,1435,10,13607,10890,14386,12743,-0.02782838567,-0.1383130242,221.90001
13-09-2011,-30.679722,26.7125,131.63,257.2,10,9372,10159.5,8428,8301.5,0.05303370787,0.09315400134,195
13-09-2011,-31.396,29.2651,49.52,123.6,10,10337.5,10311,9328,8627,0.05133355369,0.05005346504,149.90001
13-09-2011,-33.38056,19.30167,42.962,403,158,,,,,,,206.7
13-09-2011,-33.31388889,19.07472222,7.55,135.6,10,12595,8754.5,10769.5,9043,0.07813135312,-0.1032063102,216.90001
13-09-2011,-27.495556,26.074722,260.321,771,10,16273,11979,19245.5,15279.5,-0.0836887819,-0.2327178978,200.7
14-09-2011,-24.058889,31.237222,190.996,596,10,,,,,,,171.8
14-09-2011,-28.75,30.442778,100.384,244.7,10,13370.5,11145.5,14057.5,12538.5,-0.02504739682,-0.1155418006,166.6
14-09-2011,-29.380556,30.2775,31.639,87.7,10,,,,,,,144.1
14-09-2011,-26.73806,27.59194,145.944,712,142,,,,,,,174.5
14-09-2011,-27.4275,28.525833,36.8595,102.95,10,15679,10658.5,17066.5,14806.5,-0.04237223435,-0.2311271416,167.7
14-09-2011,-27.3,28.586944,105.299,264.6,10,,,,,,,168.1
14-09-2011,-29.042222,24.6,187.464,878,10,9355.5,10063.5,8708,8298.5,0.03584576632,0.07221053192,219.5
14-09-2011,-29.028629,24.638389,86.639,252.7,10,13151,10099,13413,11866,-0.009862972444,-0.1409493025,218.40001
14-09-2011,-30.160091,27.40124,113.765,242.1,10,14642,10561.5,15476.5,13234.5,-0.02770722314,-0.1887625778,181.7
14-09-2011,-34.250556,20.9925,43.533,1090,10,12674,8574,11305,9616,0.05709162184,-0.137381156,186.8
14-09-2011,-33.7075,18.97444444,6.862,142.4,50,,,,,,,212.8
15-09-2011,-29.161667,23.696389,73.273,195.7,10,8669,11537,7785,7806,0.05372553786,0.1941827968,226.6
15-09-2011,-30.398056,30.601944,52.472,267.5,10,16155,9211.5,12142.5,9657.5,0.1417969785,-0.1372576566,148.3
15-09-2011,-27.169444,29.233889,161.829,400,10,16066,11452,20353,16434,-0.1177132815,-0.279861657,162
15-09-2011,-27.00222,28.76528,177.77,447,167,29621.5,65535,46444,24017.5,-0.2211580809,0.1704873235,166.1
16-09-2011,-27.902778,24.615556,216.315,1151,10,13932.5,10250.5,15662,13818,-0.05843991282,-0.2088374337,221.90001
16-09-2011,-28.460833,21.248889,128.728,433,10,,,,,,,249.2
19-09-2011,-30.27402,30.69602,138.369,681,10,14522,9459,12822.5,10614,0.06215143813,-0.150954828,148
19-09-2011,-26.861111,28.884722,179.548,660,180,14621.5,11108.5,17485,14802.5,-0.08918754769,-0.2230052285,164.90001
19-09-2011,-26.970278,27.211111,142.56,697,134,9440,9266.5,8522.5,8063,0.05107863605,0.04182359885,181.3
20-09-2011,-27.01011111,26.69808333,141.712,759,10,13001.5,10826.5,12588.5,11352.5,0.01613911684,-0.07525090754,189.3
20-09-2011,-24.058889,31.237222,200.158,613,10,,,,,,,171.8
20-09-2011,-27.937778,31.209444,37.58,286,10,14114.5,10273,14152.5,11262,-0.00134432377,-0.1588299114,161.7
20-09-2011,-29.380556,30.2775,34.416,95,42,,,,,,,144.1
20-09-2011,-27.00222,28.76528,180.087,450,10,29621.5,65535,46444,24017.5,-0.2211580809,0.1704873235,166.1
20-09-2011,-26.648056,27.089444,282.397,683,10,,,,,,,179.7
20-09-2011,-26.880278,26.965,280.913,780,185,15634.5,11099,17153.5,13768.5,-0.04632792485,-0.2142996195,182.1
20-09-2011,-26.98472222,26.63227778,239.32,1004,84,14954,11291.5,15342,13240,-0.01280697122,-0.1520829031,188.5
20-09-2011,-33.501667,21.624167,97.66,580,58,11846,9929.5,11875,9983.5,-0.001222545424,-0.08922470132,193.40001
20-09-2011,-28.058889,30.373611,117.138,456,47,13989,10613.5,13868.5,12343,0.004325585569,-0.132954824,160.6
20-09-2011,-25.57877778,29.12747222,46.216,441,10,13758,10585,16356,13192.5,-0.08627216577,-0.2142088267,172.40001
21-09-2011,-29.161667,23.696389,86.573,229,10,,,,,,,226.6
21-09-2011,-25.81048333,27.90955222,169.106,624,10,13509,10270.5,15618,13172.5,-0.07240704501,-0.2065588968,176
21-09-2011,-34.065833,20.404167,50.875,624,10,12233,8357,9564,8425,0.1224480433,-0.06735115228,194.90001
21-09-2011,-27.5275,30.858056,34.323,115.6,10,12766.5,10204,15109,13965,-0.0840343671,-0.1937739501,157.2
21-09-2011,-28.404444,30.013056,68.602,283.3,10,13458.5,10443,16539.5,13423.5,-0.1027068471,-0.2259427407,165.40001
21-09-2011,-28.141944,26.417778,315.085,733,22,15185,10294,15232,12744.5,-0.001545188546,-0.1934498159,196.40001
21-09-2011,-29.033333,23.983333,196.809,1414,10,,,,,,,221.90001
21-09-2011,-33.818056,19.694722,5,146.4,10,13593,9350,13257.5,11297,0.01249511182,-0.1728408714,212.1
21-09-2011,-34.075556,20.145556,8.958,538,10,15987,10133,16331,13245,-0.01064422303,-0.2342049577,197.40001
22-09-2011,-29.161667,23.696389,85.497,209.1,10,,,,,,,226.6
22-09-2011,-27.38972222,26.46388889,138.219,697,56,13437.5,11411,14058.5,12611.5,-0.02258510329,-0.1039478592,197.5
22-09-2011,-27.398611,26.614722,306.3915,883,10,15122,10260.5,14767,12683,0.01187727927,-0.1800619319,195.8
22-09-2011,-33.897778,20.012778,18.693,390,30,12872,8850,10597,8730,0.09693638417,-0.08983390754,199.8
